序号	提交答卷时间	所用时间	来源	来源详情	来自IP	1、您的性别	2、?您认为大学生的心理健康是否应该引起重视，请选择一个符合的选项	3、?您对心理健康知识了解多少，请选择一个符合的选项	4、您了解心理健康的途径是什么，请勾选所有符合的选项（多选题）	5、你总有明确的生活目标并在为之不懈奋斗吗？	6、如果在学习过程中出现学习效率低下、压力过大的状况，你会觉得心烦气躁吗？	7、?在考试考证前，您是否对自己信心不足，情绪烦躁，看过书本但记住很少请选择一个符合的选项	8、你认为压力在你的学习生活中有什么作用？	9、?您生活的压力主要来自，请勾选所有符合的选项（多选题）	10、?你觉得自己的心理承受能力强吗，请选择一个符合的选项	11、?您和周围认识的人是否闹过矛盾，请选择一个符合的选项	12、您是否经常跟家人朋友交流感情，聊天谈笑请选择一个符合的选项	13、?您是否曾因同学间的攀比而产生困扰，请选择一个符合的选项	14、?当情绪低落时，您如何调节，请勾选所有符合的选项（多选题）	15、你如何看待在校大学生自杀事件，请勾选所有符合的选项（多选题）	16、?你的大学恋爱观是怎样？请选择一个符合的选项	17、大学毕业之后你对未来的选择是？	18、?面对如此严峻的就业形势你会有所担忧，请选择一个符合的选项	19、?请问您觉得学校可以如何去进行心理健康教育，请勾选所有符合的选项（多选题）	20、?如果有一场心理讲座，你希望主题是什么请选择一个符合的选项	21、 目前，你急需解决的心理问题是什么？你希望以什么方式获得帮助
26	2021/5/25 19:37:45	115秒	手机提交	直接访问	123.139.134.93(陕西-西安)	女	必须重视	了解一点	浏览网页┋阅读书刊┋看相关电影	不知道	有时会	是	较为负面影响，会影响情绪	学习压力┋人际关系┋考试考证	一般	偶尔	很少	有时	参加户外活动转移注意力┋倒头大睡，不去想任何事情	对引发事件发生的社会原因和学校的责任非常慷慨┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考研	会有所担忧	多举行心理讲座┋网络心理咨询	情绪调节	(空)
27	2021/5/25 19:44:14	240秒	手机提交	直接访问	1.86.53.130(陕西-西安)	女	没有必要	一点也不了解	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影┋其他	没有	经常会	是	较为负面影响，会影响情绪	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证┋就业压力	很强	经常	从来没有	没有	一个人生闷气┋无法排解低落情绪	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋非常鄙视自杀之人，枉费父母和社会的栽培┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	只在乎曾经拥有，不在乎天长地久	还没想过	充满信心	网络心理咨询	如何和他人交往	(空)
28	2021/5/25 19:45:27	53秒	手机提交	直接访问	123.139.85.11(陕西-西安)	男	没有必要	一点也不了解	其他	不知道	从来不会	否	较为负面影响，会影响情绪	其他	很弱	经常	从来没有	经常	其他:	压力过大，能够理解	一种美好的经历，帮助我成长	还没想过	会有所担忧	其他:	其他:	(空)
29	2021/5/25 19:50:17	202秒	手机提交	直接访问	117.136.87.184(陕西-西安)	男	必须重视	了解一点	浏览网页┋跟朋友聊天时了解到┋听讲座	不知道	经常会	是	较为负面影响，会影响情绪	学习压力┋感情压力┋人际关系┋经济问题┋考试考证┋就业压力	一般	偶尔	偶尔	有时	参加户外活动转移注意力┋倒头大睡，不去想任何事情	以此为鉴，努力疏导自声心理问题	人生大事，应该用心经营，从一而终	考研	会有所担忧	多举行心理讲座┋其他:	如何处理学习和工作	无
30	2021/5/25 19:55:45	17秒	手机提交	直接访问	36.45.251.143(陕西-西安)	男	应该重视	了解一点	阅读书刊	没有	经常会	是	没感觉	考试考证	一般	偶尔	经常	有时	倒头大睡，不去想任何事情	非常鄙视自杀之人，枉费父母和社会的栽培	人生大事，应该用心经营，从一而终	还没想过	会有所担忧	设立心理咨询室	学习方法	(空)
31	2021/5/25 20:01:43	79秒	手机提交	直接访问	36.45.116.215(陕西-西安)	女	必须重视	了解很少	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影	没有	经常会	是	较为负面影响，会影响情绪	学习压力┋感情压力┋人际关系┋就业压力	一般	偶尔	经常	有时	参加户外活动转移注意力┋通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情┋一个人生闷气	以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	只在乎曾经拥有，不在乎天长地久	还没想过	会有所担忧	多举行心理讲座	如何处理学习和工作	(空)
32	2021/5/25 20:02:25	46秒	手机提交	直接访问	123.139.80.206(陕西-西安)	男	没有必要	了解很少	浏览网页	没有	比较少	否	较为负面影响，会影响情绪	感情压力	一般	偶尔	很少	有时	倒头大睡，不去想任何事情	以此为鉴，努力疏导自声心理问题	只在乎曾经拥有，不在乎天长地久	考研	会有所担忧	网络心理咨询	如何处理学习和工作	无
33	2021/5/25 20:07:44	42秒	手机提交	直接访问	123.138.233.213(陕西-西安)	男	必须重视	了解一点	浏览网页	有	有时会	否	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系┋家庭问题	一般	偶尔	偶尔	有时	参加户外活动转移注意力┋倒头大睡，不去想任何事情	对引发事件发生的社会原因和学校的责任非常慷慨	一种美好的经历，帮助我成长	考研	会有所担忧	多举行心理讲座	学习方法	无
1	2021/5/28 8:39:53	323秒	微信	N/A	221.192.238.12(河北-保定)	女	必须重视	了解一点	浏览网页阅读书刊┋听讲座看相关电影	不知道	有时会	是	正面影响，会为学习带来动力	学习压力┋就业压力	一般	没有	偶尔	较少	倒头大睡，不去想任何事情┋一个人生闷气┋找人倾述	对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自身心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考研	会有所担忧	设立心理咨询室┋网络心理咨询┋组织团体活动	情绪调节┋学习方法┋如何和他人交往┋如何处理学习和工作	老是不好好学习，还想成绩好。找个能一起好好学习的小伙伴，沉迷学习，互相帮助。
2	2021/5/28 8:40:13	126秒	微信	N/A	101.19.4.47(河北-保定)	女	必须重视	了解一点	其他〖学习〗	有	有时会	是	没感觉	学习压力┋人际关系┋就业压力	很强	很少	经常	较少	参加户外活动转移注意力	以此为鉴，努力疏导自身心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	还没想过	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何处理学习和工作	考前焦虑 心理辅导
3	2021/5/28 8:43:24	316秒	微信	N/A	39.144.50.20(河北-石家庄)	女	必须重视	了解一点	浏览网页阅读书刊┋跟朋友聊天时了解到┋听讲座看相关电影	有	有时会	否	正面影响，会为学习带来动力	学习压力┋家庭问题┋考试考证┋就业压力	一般	很少	偶尔	没有	参加户外活动转移注意力┋倒头大睡，不去想任何事情┋一个人生闷气┋找人倾述	压力过大，能够理解┋以此为鉴，努力疏导自身心理问题	一种美好的经历，帮助我成长	考公务员	会有所担忧	多举行心理讲座┋网络心理咨询┋组织团体活动	情绪调节┋学习方法┋如何和他人交往┋如何处理学习和工作	考试压力
4	2021/5/28 8:47:38	123秒	微信	N/A	117.136.2.51(河北-承德)	女	必须重视	了解很多了	跟朋友聊天时了解到	有	从来不会	否	正面影响，会为学习带来动力	感情压力	很强	很少	经常	没有	倒头大睡，不去想任何事情┋找人倾述	压力过大，能够理解┋非常鄙视自杀之人，枉费父母和社会的栽培┋以此为鉴，努力疏导自身心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考公务员	会有所担忧	多举行心理讲座	情绪调节	没有
5	2021/5/28 8:50:04	150秒	微信	N/A	218.12.12.84(河北-石家庄)	女	必须重视	了解一点	浏览网页阅读书刊┋跟朋友聊天时了解到┋听讲座看相关电影	有	有时会	是	较为负面影响，会影响情绪	学习压力┋感情压力┋家庭问题┋经济问题┋考试考证┋就业压力	一般	偶尔	偶尔	较少	参加户外活动转移注意力┋倒头大睡，不去想任何事情	以此为鉴，努力疏导自身心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考公务员	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询	情绪调节	就业，交谈
6	2021/5/28 8:56:21	229秒	微信	N/A	221.192.180.148(河北-秦皇岛)	女	必须重视	了解一点	浏览网页阅读书刊┋其他〖自己本身〗	有	经常会	是	较为负面影响，会影响情绪	学习压力┋考试考证┋就业压力	一般	很少	很少	没有	参加户外活动转移注意力┋一个人生闷气┋其他：〖听歌〗	以此为鉴，努力疏导自身心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	会有所担忧	设立心理咨询室┋网络心理咨询┋组织团体活动	情绪调节┋学习方法┋如何和他人交往┋如何处理学习和工作	想太多
7	2021/5/28 8:56:30	138秒	手机提交	直接访问	14.28.21.187(广东-肇庆)	女	必须重视	了解很多了	浏览网页阅读书刊┋跟朋友聊天时了解到┋听讲座看相关电影	有	有时会	是	没感觉	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证┋就业压力	一般	很少	经常	没有	参加户外活动转移注意力┋倒头大睡，不去想任何事情┋一个人生闷气┋找人倾述	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自身心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	就业	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	情绪调节┋学习方法┋如何和他人交往┋如何处理学习和工作	无法很好的控制情绪
8	2021/5/28 8:57:05	106秒	手机提交	直接访问	223.104.251.55(重庆-重庆)	女	必须重视	了解一点	浏览网页阅读书刊┋跟朋友聊天时了解到┋听讲座看相关电影	有	有时会	是	正面影响，会为学习带来动力	学习压力┋人际关系┋家庭问题┋经济问题┋考试考证┋就业压力	一般	偶尔	经常	经常	参加户外活动转移注意力┋倒头大睡，不去想任何事情┋找人倾述	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自身心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	会有所担忧	多举行心理讲座┋设立心理咨询室	情绪调节┋如何处理学习和工作	各类考试压力(学业证书考研)
9	2021/5/28 8:58:21	276秒	微信	N/A	223.104.13.159(河北-石家庄)	女	必须重视	了解一点	浏览网页阅读书刊┋听讲座看相关电影	有	有时会	否	正面影响，会为学习带来动力	学习压力┋人际关系┋经济问题┋就业压力	一般	很少	很少	较少	倒头大睡，不去想任何事情┋一个人生闷气┋找人倾述	压力过大，能够理解┋以此为鉴，努力疏导自身心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	就业	会有所担忧	设立心理咨询室┋组织团体活动	情绪调节┋如何和他人交往┋如何处理学习和工作	穷
10	2021/5/28 9:04:30	87秒	手机提交	直接访问	119.39.248.5(湖南-长沙)	女	必须重视	了解一点	跟朋友聊天时了解到┋听讲座看相关电影	不知道	经常会	是	较为负面影响，会影响情绪	学习压力┋人际关系┋家庭问题┋就业压力	很弱	偶尔	偶尔	经常	一个人生闷气┋无法排解低落情绪	以此为鉴，努力疏导自身心理问题	人生大事，应该用心经营，从一而终	考公务员	会有所担忧	设立心理咨询室┋网络心理咨询	如何和他人交往	交往
11	2021/5/28 10:21:14	129秒	微信	N/A	117.160.223.70(河南-郑州)	女	必须重视	了解一点	跟朋友聊天时了解到┋听讲座看相关电影	有	经常会	是	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系	一般	没有	偶尔	较少	一个人生闷气┋无法排解低落情绪	压力过大，能够理解┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考研	会有所担忧	设立心理咨询室┋网络心理咨询┋组织团体活动	如何和他人交往	学习压力 有人帮我解决
12	2021/5/28 23:41:17	15秒	手机提交	直接访问	117.136.75.38(福建-厦门)	男	必须重视	了解一点	跟朋友聊天时了解到	有	经常会	是	正面影响，会为学习带来动力	人际关系	很强	经常	偶尔	经常	参加户外活动转移注意力	非常鄙视自杀之人，枉费父母和社会的栽培	一种美好的经历，帮助我成长	考研	会有所担忧	设立心理咨询室	学习方法	好
1	2021/5/25 18:32:17	64秒	微信	N/A	223.104.13.55(河北-石家庄)	男	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影	不知道	经常会	是	正面影响，会为学习带来动力	学习压力┋家庭问题	很强	很少	经常	较少	参加户外活动转移注意力	对引发事件发生的社会原因和学校的责任非常慷慨┋非常鄙视自杀之人，枉费父母和社会的栽培	一种美好的经历，帮助我成长	还没想过	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何处理学习和工作	无
2	2021/5/25 18:34:34	136秒	微信	N/A	42.234.65.155(河南-南阳)	男	必须重视	了解一点	浏览网页┋阅读书刊┋听讲座	不知道	有时会	是	较为负面影响，会影响情绪	学习压力┋感情压力┋人际关系┋经济问题┋考试考证	很强	偶尔	经常	没有	参加户外活动转移注意力	以此为鉴，努力疏导自身心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	就业考研	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	情绪调节	学习压力     多多复习
